genet,2013 blobs,2013 area,2014 blobs,2014 area
0,0 ,64.0 ,0 ,6050.0 
1,1 ,1816.0 ,1 ,1324.0 
2,2 ,179.0 ,2 ,473.0 
3,3 ,2218.0 ,,
4,4 ,1505.0 ,4 ,1892.0 
5,5 ,12193.0 ,5 ,9276.0 
6,6 ,2176.0 ,6 ,4337.0 
7,7 ,975.0 ,,
8,8 ,8412.0 ,7 ,12827.0 
9,9 ,4060.0 ,8 ,1840.0 
10,10 ,28199.0 ,9 ,18343.0 
11,11 ,8742.0 ,10 ,10621.0 
12,12 ,1247.0 ,,
13,13 ,21144.0 ,,
14,14 ,818.0 ,11 ,1857.0 
15,15 ,78123.0 ,13 ,101497.0 
16,16 ,334.0 ,,
17,17 ,863.0 ,15 ,1785.0 
18,18 ,21240.0 ,16 18 ,9243.0 5946.0 
19,19 ,1888.0 ,17 ,4407.0 
20,20 ,1538.0 ,,
21,21 ,7792.0 ,21 ,11634.0 
22,22 ,11342.0 ,22 ,5143.0 
23,23 ,7332.0 ,,
24,24 ,3238.0 ,,
25,25 ,3325.0 ,24 ,4234.0 
26,26 ,16904.0 ,25 27 ,582.0 290.0 
27,27 ,5783.0 ,26 ,8661.0 
28,28 ,2201.0 ,,
29,29 ,68649.0 ,28 33 ,66788.0 7221.0 
30,30 ,2970.0 ,31 ,3208.0 
31,31 ,1866.0 ,,
32,32 ,12045.0 ,,
33,33 ,3904.0 ,,
34,34 ,2176.0 ,34 ,2399.0 
35,35 ,2602.0 ,,
36,36 ,20187.0 ,36 ,17138.0 
37,37 ,18784.0 ,37 ,11975.0 
38,38 ,19081.0 ,38 ,17126.0 
39,39 ,6276.0 ,39 ,7660.0 
40,40 ,5797.0 ,40 ,7327.0 
41,41 ,7464.0 ,41 ,1441.0 
42,42 ,5369.0 ,42 ,1742.0 
43,43 ,28077.0 ,43 ,41593.0 
44,44 ,5819.0 ,45 ,6697.0 
45,45 ,1687.0 ,48 ,2072.0 
46,46 ,155278.0 ,46 50 ,171472.0 750.0 
47,47 ,3435.0 ,51 ,3307.0 
48,48 ,1693.0 ,53 54 ,59.0 55.0 
49,49 ,3828.0 ,,
50,50 ,6541.0 ,55 ,8863.0 
51,51 ,2237.0 ,,
52,52 ,4727.0 ,57 58 ,369.0 528.0 
56,,,3 ,80.0 
65,,,12 ,3411.0 
67,,,14 ,1100.0 
72,,,19 ,2182.0 
73,,,20 ,62.0 
76,,,23 ,11447.0 
82,,,29 ,4995.0 
83,,,30 ,1257.0 
85,,,32 ,9865.0 
88,,,35 ,3931.0 
97,,,44 ,1911.0 
100,,,47 ,1319.0 
102,,,49 ,929.0 
105,,,52 ,1102.0 
109,,,56 ,789.0 
